describe,evaluate,introduce,movie_name,num,star
嬉笑怒骂，调风动月。,198407人评价,1992/香港中国大陆/剧情动作武侠古装,新龙门客栈,210,8.5
天使暂时离开。,114069人评价,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,211,8.7
生命不止，摇滚不死。,172756人评价,2009/英国德国法国/剧情喜剧音乐,海盗电台,212,8.6
科幻真正的魅力不是视觉效果能取代的。 ,196054人评价,2007/美国/剧情科幻,这个男人来自地球,213,8.5
类型片的极致。 ,150382人评价,1996/美国/动作冒险,勇闯夺命岛,214,8.6
永远的小人物，伟大的卓别林。,48128人评价,1931/美国/喜剧剧情爱情,城市之光,215,9.2
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,132683人评价,1942/美国/剧情爱情战争,卡萨布兰卡,216,8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,237651人评价,2009/美国德国/剧情犯罪,无耻混蛋,217,8.4
黑小鸭速效美白记。,493739人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,218,8.3
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,226865人评价,1997/美国/动作科幻犯罪惊悚,变脸,219,8.4
生病的E.T.皮肤的颜色就像柿子饼。,164100人评价,1982/美国/剧情科幻,E.T. 外星人,220,8.5
我完全康复了。,197070人评价,1971/英国美国/犯罪剧情科幻,发条橙,221,8.4
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,126045人评价,2013/美国/剧情爱情,爱在午夜降临前,222,8.8
最棒的西部片。,55408人评价,1966/意大利西班牙西德/冒险西部,黄金三镖客,223,9.1
每个人的内心都是深不可测的大海。 ,196655人评价,1999/美国/剧情爱情家庭,美国丽人,224,8.4
出门必备：本草纲目。,135096人评价,2007/美国/冒险传记剧情,荒野生存,225,8.6
最美的飞翔。,53995人评价,2001/法国德国意大利西班牙瑞士/纪录片,迁徙的鸟,226,9.1
迪士尼和皮克斯拿错剧本的产物。,197747人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,227,8.6
中国版《两杆大烟枪》。,340632人评价,2006/中国大陆香港/喜剧犯罪,疯狂的石头,228,8.3
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,85632人评价,2008/日本/剧情家庭,步履不停,229,8.8
"In memory, love lives forever...",181984人评价,1996/美国英国/爱情剧情战争,英国病人,230,8.4
现实与童话交相辉映的旅程。,112169人评价,1996/日本/犯罪剧情,燕尾蝶,231,8.6
我不信仰上帝，但我敬畏上帝。,123939人评价,1995/德国美国/剧情犯罪悬疑惊悚,非常嫌疑犯,232,8.6
小成本大魅力。,197010人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,233,8.4
皇上无话儿。,360870人评价,2010/英国澳大利亚美国/剧情传记历史,国王的演讲,234,8.3
热血沸腾，相当完美的娱乐拳击大餐。,92389人评价,2011/美国/剧情运动家庭,勇士,235,8.9
每个美丽事物背后都是滴血的现实。,142643人评价,2006/美国德国/剧情惊悚冒险,血钻,236,8.5
乐观比一切都有力量。,115008人评价,2008/美国/剧情传记,叫我第一名,237,8.6
,141673人评价,2015/日本/剧情家庭,海街日记,238,8.6
大卫·林奇的梦境迷宫。,248732人评价,2001/法国美国/剧情悬疑惊悚,穆赫兰道,239,8.3
,137598人评价,2015/美国/剧情传记,聚焦,240,8.8
纯净原始的笑与感动。,101373人评价,1980/博茨瓦纳南非/喜剧,上帝也疯狂,241,8.6
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,106470人评价,1999/香港/剧情动作犯罪,枪火,242,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,62385人评价,2011/韩国/剧情爱情,我爱你,243,9.0
用剩余不多的时间，去燃烧整个生命。,139391人评价,2007/美国/冒险喜剧剧情,遗愿清单,244,8.5
还原真实而残酷的战争。,124619人评价,2001/美国/动作历史战争,黑鹰坠落,245,8.5
一个人的独角戏。,143720人评价,2000/美国/冒险剧情,荒岛余生,246,8.5
捍卫人权只是信仰，一点不妨碍其行为的残忍。,101149人评价,2003/美国德国英国/剧情犯罪悬疑,大卫·戈尔的一生,247,8.6
一部能引人思考的科幻励志片。,92745人评价,1997/美国/剧情科幻,千钧一发,248,8.7
青春的窃窃私语。 ,283894人评价,2002/台湾法国/剧情爱情同性,蓝色大门,249,8.3
献给所有外婆的电影。,50319人评价,2002/韩国/剧情家庭,爱·回家,250,9.0
